similarity,label
0.41313535,1
0.19935470,1
0.17233449,1
-0.12382366,1
0.05746048,1
-0.01614309,1
0.01997128,1
0.66031764,1
0.12126396,1
0.48834183,1
-0.01710900,1
0.51408353,1
0.06773133,1
-0.02689326,1
-0.01866059,1
0.23767755,1
0.15281485,1
0.16734509,1
-0.09240187,1
0.01897794,1
-0.01019192,1
-0.00966156,1
0.08199503,1
-0.03967738,1
0.01597113,1
0.06180626,1
0.14580168,1
0.21733184,1
0.36183500,1
0.28598531,1
0.25872980,1
0.17127160,1
0.13545035,1
0.04068086,1
0.05144454,1
0.42179096,1
0.46989747,1
0.57335266,1
0.57260751,1
0.21476532,1
0.42484829,1
0.08065418,1
0.42565077,1
0.07950921,1
0.10853630,1
-0.01231851,1
0.45657639,1
-0.04835998,1
0.24694413,1
0.14733962,1
0.05632590,1
0.11126503,1
-0.12457543,1
0.10326015,1
-0.06251585,1
-0.08394522,1
-0.09218759,1
0.09934484,1
0.04641126,1
0.10659726,1
0.45467683,1
0.08800820,1
0.48931676,1
0.04455853,1
0.10510787,1
-0.05655710,1
0.45410564,1
0.23924276,1
0.07729624,1
-0.04897910,1
0.09619782,1
-0.02034177,1
0.02665840,1
0.04230958,1
0.06752760,1
-0.01930857,1
0.38443041,1
0.12567492,1
0.09183395,1
0.40585845,1
0.32242407,1
0.08001280,1
0.11506697,1
0.02199522,1
0.06105470,1
0.03144559,1
0.34699469,1
0.04281043,1
0.34984342,1
0.48393571,1
0.44375894,1
0.01029338,1
0.11259253,1
0.30287507,1
0.07435641,1
0.19306086,1
0.12500862,1
0.02057965,1
0.00862523,1
0.45885889,1
0.45030285,1
-0.00289743,1
0.05131039,1
0.10709223,1
0.13971692,1
0.06483604,1
0.10249368,1
0.46197250,1
0.47722841,1
-0.01766143,1
-0.07784687,1
0.19719985,1
-0.05942426,1
-0.00208804,1
0.02537603,1
0.17223344,1
0.10837916,1
0.53503380,1
-0.01029192,1
0.08967330,1
-0.00134567,1
0.15920931,1
0.13913757,1
0.01125622,1
0.18792470,1
0.03187087,1
0.17906798,1
0.02918847,1
0.10190170,1
0.06809397,1
0.47095907,1
0.44844154,1
0.31767183,1
0.51512057,1
0.17262629,1
0.47860493,1
0.20522934,1
0.21818127,1
-0.02441634,1
0.00981828,1
0.44618540,1
0.35916285,1
0.09582422,1
0.14668730,1
-0.05305902,1
0.12402344,1
0.04930263,1
0.07502178,1
0.07535658,1
0.22194458,1
0.18512153,1
0.18651403,1
-0.01289321,1
0.00043829,1
0.16813429,1
0.02691332,1
0.08403545,1
0.07937064,1
0.09806352,1
0.14295690,1
0.16890400,1
0.37540715,1
0.26787204,1
0.48651838,1
0.11035868,1
-0.04569555,1
-0.08866913,1
-0.02544610,1
-0.15116461,1
