sentTime,receivedTime,diffSeconds
2023-01-15T02:13:46.416Z,2023-01-15T02:13:48.830Z,2.414
2023-01-15T02:13:49.258Z,2023-01-15T02:13:51.736Z,2.478
2023-01-15T02:13:52.065Z,2023-01-15T02:13:54.475Z,2.41
2023-01-15T02:13:54.683Z,2023-01-15T02:13:57.036Z,2.353
2023-01-15T02:13:57.040Z,2023-01-15T02:13:59.664Z,2.624
2023-01-15T02:13:59.863Z,2023-01-15T02:14:02.253Z,2.39
2023-01-15T02:14:03.309Z,2023-01-15T02:14:05.744Z,2.435
2023-01-15T02:14:06.496Z,2023-01-15T02:14:08.880Z,2.384
2023-01-15T02:14:09.013Z,2023-01-15T02:14:11.398Z,2.385
2023-01-15T02:14:11.384Z,2023-01-15T02:14:13.959Z,2.575
2023-01-15T02:14:13.993Z,2023-01-15T02:14:16.758Z,2.765
2023-01-15T02:14:17.416Z,2023-01-15T02:14:19.838Z,2.422
2023-01-15T02:14:20.246Z,2023-01-15T02:14:22.644Z,2.398
2023-01-15T02:14:23.476Z,2023-01-15T02:14:25.865Z,2.389
2023-01-15T02:14:26.099Z,2023-01-15T02:14:28.471Z,2.372
2023-01-15T02:14:28.480Z,2023-01-15T02:14:30.862Z,2.382
2023-01-15T02:14:31.133Z,2023-01-15T02:14:33.517Z,2.384
2023-01-15T02:14:33.549Z,2023-01-15T02:14:36.285Z,2.736
2023-01-15T02:14:36.652Z,2023-01-15T02:14:39.080Z,2.428
2023-01-15T02:14:39.473Z,2023-01-15T02:14:41.972Z,2.499
2023-01-15T02:14:42.259Z,2023-01-15T02:14:44.643Z,2.384
2023-01-15T02:14:45.533Z,2023-01-15T02:14:48.109Z,2.576
2023-01-15T02:14:48.707Z,2023-01-15T02:14:51.171Z,2.464
2023-01-15T02:14:51.461Z,2023-01-15T02:14:53.990Z,2.529
2023-01-15T02:14:54.199Z,2023-01-15T02:14:56.698Z,2.499
2023-01-15T02:14:57.418Z,2023-01-15T02:14:59.927Z,2.509
2023-01-15T02:14:59.947Z,2023-01-15T02:15:02.583Z,2.636
2023-01-15T02:15:03.141Z,2023-01-15T02:15:05.703Z,2.562
2023-01-15T02:15:06.393Z,2023-01-15T02:15:08.879Z,2.486
2023-01-15T02:15:09.618Z,2023-01-15T02:15:12.130Z,2.512
2023-01-15T02:15:12.442Z,2023-01-15T02:15:15.013Z,2.571
